kod,opis
BAAV2_A,AKTYWA | Aktywa trwałe | Długoterminowe rozliczenia międzyokresowe | Inne rozliczenia międzyokresowe | Odpisy aktualizujące inne rozliczenia międzyokresowe
BABI1,AKTYWA | Aktywa obrotowe | Zapasy | Materiały
BABI1_O,AKTYWA | Aktywa obrotowe | Zapasy | Materiały | Odchylenia od cen ewidencyjnych materiałów
BABI1_A,AKTYWA | Aktywa obrotowe | Zapasy | Materiały | Odpisy aktualizujące wartość materiałów
BABI2,AKTYWA | Aktywa obrotowe | Zapasy | Półprodukty i produkty w toku
BABI2_O,AKTYWA | Aktywa obrotowe | Zapasy | Półprodukty i produkty w toku | Odchylenia od cen ewidencyjnych półproduktów i produktów w toku
BABI2_A,AKTYWA | Aktywa obrotowe | Zapasy | Półprodukty i produkty w toku | Odpisy aktualizujące wartość półproduktów i produktów w toku
BABI3,AKTYWA | Aktywa obrotowe | Zapasy | Produkty gotowe
BABI3_O,AKTYWA | Aktywa obrotowe | Zapasy | Produkty gotowe | Odchylenia od cen ewidencyjnych produktów gotowych
BABI3_A,AKTYWA | Aktywa obrotowe | Zapasy | Produkty gotowe | Odpisy aktualizujące wartość produktów gotowych
BABI4,AKTYWA | Aktywa obrotowe | Zapasy | Towary
BABI4_O,AKTYWA | Aktywa obrotowe | Zapasy | Towary | Odchylenia od cen ewidencyjnych towarów
BABI4_A,AKTYWA | Aktywa obrotowe | Zapasy | Towary | Odpisy aktualizujące wartość towarów
BABI5,AKTYWA | Aktywa obrotowe | Zapasy | Zaliczki na dostawy i usługi
BABI5_A,AKTYWA | Aktywa obrotowe | Zapasy | Zaliczki na dostawy i usługi | Odpisy aktualizujące zaliczki na dostawy i usługi
BABII1a_D12,AKTYWA | Aktywa obrotowe | Należności krótkoterminowe | Należności od jednostek powiązanych | Z tytułu dostaw i usług | o okresie spłaty do 12 miesięcy
